"Taxon","longitude","latitude","uncertainty","year"
"Hedera helix L. subsp. helix",10.159623,42.762128,564.189583547756,2005
"Erica multiflora L. subsp. multiflora",11.02366,43.45312,564.189583547756,2017
"Dittrichia viscosa (L.) Greuter subsp. viscosa",10.409181,42.720252,564.189583547756,2005
"Erica multiflora L. subsp. multiflora",10.663156,44.037582,1784.12411615277,1908
"Smilax aspera L.",10.379829,42.822673,564.189583547756,2005
"Smilax aspera L.",10.27309,42.77419,564.189583547756,2005
"Smilax aspera L.",10.32829,42.78717,564.189583547756,2005
"Smilax aspera L.",10.175894,42.787722,564.189583547756,2005
"Smilax aspera L.",10.417764,42.797868,564.189583547756,2005
"Smilax aspera L.",10.248538,42.773446,564.189583547756,2005
"Smilax aspera L.",10.425036,42.852671,564.189583547756,2005
"Smilax aspera L.",10.28211,42.77621,564.189583547756,2005
"Smilax aspera L.",10.377605,42.825328,564.189583547756,2005
"Smilax aspera L.",10.375956,42.825839,564.189583547756,2005
"Smilax aspera L.",10.267646,42.826827,564.189583547756,2005
"Symphyotrichum novi-belgii (L.) G.L.Nesom",11.040332,44.065715,1784.12411615277,2006
"Erica multiflora L. subsp. multiflora",11.210556,42.381389,1784.12411615277,1908
"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.341209,43.636776,1784.12411615277,2002
"Dittrichia viscosa (L.) Greuter subsp. viscosa",11.222879,43.137808,1784.12411615277,2006
"Erica multiflora L. subsp. multiflora",10.901329,42.356387,1784.12411615277,1908
"Arbutus unedo L.",11.533203,42.588773,1784.12411615277,1996
"Calluna vulgaris (L.) Hull",10.624895,44.134687,1784.12411615277,2006
"Calluna vulgaris (L.) Hull",10.384793,44.210254,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.507115,44.170235,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.500204,44.171955,1784.12411615277,2005
"Calluna vulgaris (L.) Hull",10.484006,44.170519,1784.12411615277,2005
"Cyclamen hederifolium Aiton subsp. hederifolium",11.145667,42.411119,1784.12411615277,1871
